Row,collision
scenario0,0
scenario1,0
scenario2,0
scenario3,0
scenario4,0
scenario5,0
scenario6,0
scenario7,0
scenario8,0
scenario9,0
scenario10,0
scenario11,0
scenario12,0
scenario13,0
scenario14,0
scenario15,0
scenario16,0
scenario17,0
scenario18,0
scenario19,0
scenario20,0
scenario21,0
scenario22,0
scenario23,0
scenario24,0
scenario25,0
scenario26,0
scenario27,0
scenario28,0
scenario29,0
scenario30,0
scenario31,0
scenario32,0
scenario33,0
scenario34,0
scenario35,0
scenario36,0
scenario37,0
scenario38,0
scenario39,0
scenario40,0
scenario41,0
scenario42,0
scenario43,0
scenario44,0
scenario45,0
scenario46,0
scenario47,0
scenario48,0
scenario49,0
scenario50,0
scenario51,0
scenario52,0
scenario53,0
scenario54,0
scenario55,0
scenario56,0
scenario57,0
scenario58,0
scenario59,0
scenario60,0
scenario61,0
scenario62,0
scenario63,0
scenario64,0
scenario65,0
scenario66,0
scenario67,0
scenario68,0
scenario69,0
scenario70,0
scenario71,0
scenario72,0
scenario73,0
scenario74,0
scenario75,0
scenario76,0
scenario77,0
scenario78,0
scenario79,0
scenario80,0
scenario81,0
scenario82,0
scenario83,0
scenario84,0
scenario85,0
scenario86,0
scenario87,0
scenario88,0
scenario89,0
scenario90,0
scenario91,0
scenario92,0
scenario93,0
scenario94,0
scenario95,0
scenario96,0
scenario97,0
scenario98,0
scenario99,0
scenario100,0
scenario101,0
scenario102,0
scenario103,0
scenario104,0
scenario105,0
scenario106,0
scenario107,0
scenario108,0
scenario109,0
scenario110,0
scenario111,0
scenario112,0
scenario113,0
scenario114,0
scenario115,0
scenario116,0
scenario117,0
scenario118,0
scenario119,0
scenario120,0
scenario121,0
scenario122,0
scenario123,0
scenario124,0
scenario125,0
scenario126,0
scenario127,0
scenario128,0
scenario129,0
scenario130,0
scenario131,0
scenario132,0
scenario133,0
scenario134,0
scenario135,0
scenario136,0
scenario137,0
scenario138,0
scenario139,0
scenario140,0
scenario141,0
scenario142,0
scenario143,0
scenario144,0
scenario145,0
scenario146,0
scenario147,0
scenario148,0
scenario149,0
scenario150,0
scenario151,0
scenario152,0
scenario153,0
scenario154,0
scenario155,0
scenario156,0
scenario157,0
scenario158,0
scenario159,0
scenario160,0
scenario161,0
scenario162,0
scenario163,0
scenario164,0
scenario165,0
scenario166,0
scenario167,0
scenario168,0
scenario169,0
scenario170,0
scenario171,0
scenario172,0
scenario173,0
scenario174,0
scenario175,0
scenario176,0
scenario177,0
scenario178,0
scenario179,0
scenario180,0
scenario181,0
scenario182,0
scenario183,0
scenario184,0
scenario185,0
scenario186,0
scenario187,0
scenario188,0
scenario189,0
scenario190,0
scenario191,0
scenario192,0
scenario193,0
scenario194,0
scenario195,0
scenario196,0
scenario197,0
scenario198,0
scenario199,0
scenario200,0
scenario201,0
scenario202,0
scenario203,0
scenario204,0
scenario205,0
scenario206,0
scenario207,0
scenario208,0
scenario209,0
scenario210,0
scenario211,0
scenario212,0
scenario213,0
scenario214,0
scenario215,0
scenario216,0
